id,company,role_original,role_latest,location,first_seen,last_seen,status,repost_count,pay_original,pay_latest,pay_changed,title_changed,days_in_wild,entry_path
gambles-hr-coordinator,Gambles Group of Companies,HR Coordinator,HR Coordinator,"Toronto, ON",2026-09-07,2026-09-07,active,0,CAD $40k–$50k,CAD $40k–$50k,false,false,0,entries/2026-09-07-gambles-hr-coordinator.md
match-sports-production-apparel,Match Sports International Inc.,Production Coordinator — Apparel,Production Coordinator — Apparel,"Scarborough, ON",2026-09-07,2026-09-07,active,0,Ontario minimum wage → CAD $40k–$50k,Ontario minimum wage → CAD $40k–$50k,false,false,0,entries/2026-09-07-match-sports-production-coordinator-apparel.md
nascent-office-coordinator,Nascent,Office Coordinator,Office Coordinator,"Toronto, ON",2026-09-07,2026-09-07,active,0,CAD $40k–$50k,CAD $40k–$50k,false,false,0,entries/2026-09-07-nascent-office-coordinator.md
sterling-karamar-resident-manager-live-in,Sterling Karamar Property Management,Resident Manager (Live-In) — North York,Resident Manager (Live-In) — North York,"North York, Toronto, ON",2026-09-07,2026-09-07,active,0,CAD $30k–$34k,CAD $30k–$34k,false,false,0,entries/2026-09-07-sterling-karamar-resident-manager-live-in-north-york.md
acupuncture-center-clinic-coordinator,Acupuncture Center Toronto,Clinic Coordinator,Clinic Coordinator,"Toronto, ON",2026-09-07,2026-09-07,active,0,From CAD $23/hour,From CAD $23/hour,false,false,0,entries/2026-09-07-acupuncture-center-toronto-clinic-coordinator.md
bloor-pain-medical-admin-assistant,Bloor Pain Specialists,Medical and Administrative Assistant,Medical and Administrative Assistant,"Toronto, ON",2026-09-07,2026-09-07,active,0,CAD $20/hour,CAD $20/hour,false,false,0,entries/2026-09-07-bloor-pain-specialists-medical-administrative-assistant.md
stark-wellness-client-care,Stark Wellness Clinic,Client Care Coordinator,Client Care Coordinator,"Toronto, ON",2026-09-07,2026-09-07,active,0,From CAD $20/hour,From CAD $20/hour,false,false,0,entries/2026-09-07-stark-wellness-client-care-coordinator.md
painless-medicine-admin-assistant,Painless Medicine and Therapeutics Inc.,Administrative Assistant,Administrative Assistant,"Toronto, ON",2026-09-07,2026-09-07,active,0,From CAD $18/hour,From CAD $18/hour,false,false,0,entries/2026-09-07-painless-medicine-administrative-assistant.md
canadian-health-clinic-administrator,Canadian Health Providers,Clinic Administrator,Clinic Administrator,"Mississauga, ON",2026-09-07,2026-09-07,active,0,CAD $17.60–$20/hour,CAD $17.60–$20/hour,false,false,0,entries/2026-09-07-canadian-health-providers-clinic-administrator.md
activate-beauty-clinic-sales-manager,Activate Beauty,Clinic Manager / Sales Manager,Clinic Manager / Sales Manager,"Toronto, ON",2026-09-07,2026-09-07,active,0,From CAD $25/hour + bonuses,From CAD $25/hour + bonuses,false,false,0,entries/2026-09-07-activate-beauty-clinic-manager-sales-manager.md
morguard-building-manager,Morguard,Building Manager,Building Manager,"Toronto, ON",2026-09-07,2026-09-07,active,0,CAD $45k–$60k,CAD $45k–$60k,false,false,0,entries/2026-09-07-morguard-building-manager.md
curate-health-office-manager,Curate Health,"Office Manager (Clinic Reception, Administration & Cafe Support)","Office Manager (Clinic Reception, Administration & Cafe Support)","Toronto, ON",2026-09-07,2026-09-07,active,0,CAD $20–$24/hour,CAD $20–$24/hour,false,false,0,entries/2026-09-07-curate-health-office-manager-clinic-cafe.md
hitters-fight-club-admin-manager,Hitters Fight Club,Administrative Manager,Administrative Manager,"Toronto, ON",2026-09-07,2026-09-07,active,0,CAD $20–$28/hour,CAD $20–$28/hour,false,false,0,entries/2026-09-07-hitters-fight-club-administrative-manager.md
altima-fire-office-manager,Altima Fire Protection Inc.,Fire Protection Office Manager,Fire Protection Office Manager,"Toronto, ON",2026-09-07,2026-09-07,active,0,CAD $20–$30/hour,CAD $20–$30/hour,false,false,0,entries/2026-09-07-altima-fire-protection-office-manager.md
renso-foods-ea-events-partnerships,Renso Foods,"Executive Assistant, Events & Partnerships","Executive Assistant, Events & Partnerships","Etobicoke, ON",2026-09-07,2026-09-07,active,0,CAD $50k–$65k,CAD $50k–$65k,false,false,0,entries/2026-09-07-renso-foods-executive-assistant-events-partnerships.md
pause-design-accounting-clerk,Pause Design Inc.,Accounting Clerk,Accounting Clerk,"Toronto, ON",2026-09-07,2026-09-07,active,0,CAD $20–$25/hour,CAD $20–$25/hour,false,false,0,entries/2026-09-07-pause-design-accounting-clerk.md
